rand,r2,MAE,less20RE_per,total_valid
476,0.3771,1.6602,0.5135,259
477,0.4987,1.6272,0.5147,307
478,0.5338,1.7581,0.4708,274
479,0.3887,1.4344,0.5914,301
480,0.4534,1.6484,0.5482,301
481,0.3428,1.5688,0.5866,358
482,0.4649,1.5112,0.5497,302
483,0.5287,1.4347,0.6194,310
484,0.4481,1.5526,0.5915,328
485,0.3809,1.4771,0.6084,286
486,0.5227,1.336,0.6522,322
487,0.5326,1.3549,0.6554,296
488,0.4881,1.5132,0.5942,308
489,0.4204,1.5368,0.5789,304
490,0.4454,1.5297,0.585,306
491,0.5367,1.5672,0.5584,308
492,0.3973,1.6042,0.5611,303
493,0.4683,1.5404,0.5762,328
494,0.5174,1.3264,0.6331,308
495,0.4172,1.4837,0.5921,304
496,0.4115,1.5561,0.5402,261
497,0.4414,1.5615,0.561,287
498,0.3197,1.5524,0.6115,314
499,0.4391,1.5393,0.6101,318
