rand,r2,MAE,less20RE_per,Average_RE,total_valid
313,0.4396,1.3666,0.6513,0.2065,1107
314,0.3753,1.398,0.6401,0.1977,978
315,0.4942,1.4643,0.6058,0.2216,1002
316,0.4786,1.3231,0.6737,0.2069,993
317,0.478,1.3529,0.6523,0.2082,998
318,0.5323,1.343,0.6489,0.2232,920
319,0.526,1.4744,0.6094,0.2416,1001
320,0.5222,1.3286,0.6527,0.2073,1002
321,0.4995,1.4277,0.6294,0.2301,985
322,0.5191,1.3809,0.6595,0.2094,925
323,0.5324,1.4121,0.6158,0.2436,924
324,0.5121,1.3393,0.6259,0.2213,874
325,0.3607,1.4638,0.6471,0.1989,1088
326,0.4088,1.3453,0.677,0.1837,1034
327,0.4875,1.3257,0.6461,0.214,955
328,0.4752,1.2992,0.6517,0.1914,979
329,0.4389,1.4028,0.6239,0.202,952
330,0.4709,1.3601,0.6367,0.2126,900
331,0.4695,1.2939,0.684,0.1858,1019
332,0.4639,1.3697,0.663,0.2231,988
333,0.4872,1.4258,0.6159,0.2279,893
334,0.4555,1.4204,0.6076,0.213,999
335,0.491,1.3677,0.6247,0.2117,898
336,0.452,1.3934,0.6439,0.2119,935
337,0.4634,1.3281,0.6491,0.2054,909
338,0.3746,1.4174,0.6482,0.2064,1009
339,0.5333,1.4167,0.6094,0.2421,855
340,0.501,1.3699,0.6097,0.232,925
341,0.4814,1.3416,0.6688,0.2102,918
342,0.4772,1.2914,0.655,0.2081,916
343,0.4649,1.3976,0.6515,0.2065,987
344,0.4423,1.4609,0.6573,0.2139,1068
345,0.4754,1.3878,0.6424,0.2162,990
346,0.4718,1.3258,0.65,0.1973,1023
347,0.5078,1.4308,0.615,0.2289,961
348,0.4456,1.4892,0.6216,0.2244,970
349,0.4081,1.3904,0.6365,0.2061,1029
350,0.4973,1.4237,0.6358,0.2156,928
351,0.4963,1.4262,0.621,0.25,905
352,0.4394,1.3368,0.6575,0.1966,984
353,0.4356,1.3715,0.6468,0.2023,971
354,0.4867,1.3973,0.6507,0.2389,999
355,0.4108,1.2698,0.661,0.1987,1053
356,0.461,1.4073,0.6267,0.2211,935
357,0.4906,1.2903,0.6713,0.2137,928
358,0.4342,1.4121,0.6284,0.2175,958
359,0.4728,1.3434,0.6452,0.2064,995
360,0.5017,1.4191,0.6287,0.2234,1002
361,0.4656,1.3442,0.6408,0.2135,955
362,0.5111,1.4106,0.6334,0.2381,941
363,0.4747,1.3318,0.6549,0.2146,988
364,0.4548,1.415,0.6603,0.2185,1054
365,0.4574,1.4086,0.6236,0.2144,1007
366,0.5356,1.3084,0.6395,0.2262,835
367,0.4567,1.5171,0.6088,0.2196,951
368,0.4253,1.4237,0.6567,0.2189,1002
369,0.4794,1.3379,0.6478,0.2137,903
370,0.4355,1.431,0.6285,0.2232,969
371,0.4504,1.4343,0.6315,0.2072,1034
372,0.5341,1.4634,0.6198,0.2354,918
373,0.4615,1.4113,0.646,0.2279,986
374,0.5076,1.4213,0.628,0.233,1008
375,0.4223,1.3862,0.6134,0.2179,983
376,0.4767,1.3958,0.6539,0.2019,1046
377,0.5061,1.3012,0.6488,0.2252,894
378,0.4501,1.3837,0.6266,0.2144,991
379,0.5044,1.3991,0.6148,0.2417,989
380,0.3915,1.4073,0.6267,0.2105,1058
381,0.4041,1.3604,0.638,0.2009,964
382,0.4438,1.424,0.6327,0.2237,1021
383,0.3807,1.3209,0.6654,0.2076,1067
384,0.5038,1.421,0.6502,0.2395,1015
